,School,Year,Seed,Exit Round,Bid Type,Region
1494,Penn,2007,14,First Round,Automatic Qualifier,South
1495,Penn,2006,15,First Round,Automatic Qualifier,South
1496,Penn,2005,13,First Round,Automatic Qualifier,Midwest
1497,Penn,2003,11,First Round,Automatic Qualifier,East
1498,Penn,2002,11,First Round,Automatic Qualifier,South
1499,Penn,2000,13,First Round,Automatic Qualifier,East
1500,Penn,1999,11,First Round,Automatic Qualifier,West
1501,Penn,1995,12,First Round,Automatic Qualifier,East
1502,Penn,1994,11,Second Round,Automatic Qualifier,East
1503,Penn,1993,14,First Round,Automatic Qualifier,East
1504,Penn,1987,16,First Round,Automatic Qualifier,East
1505,Penn,1985,15,First Round,Automatic Qualifier,Midwest
1506,Penn State,2011,10,First Round,At Large,West
1507,Penn State,2001,7,Sweet 16,At Large,South
1508,Penn State,1996,5,First Round,At Large,East
1509,Penn State,1991,13,Second Round,Automatic Qualifier,East
1510,Pepperdine,2002,10,First Round,At Large,Midwest
1511,Pepperdine,2000,11,Second Round,At Large,East
1512,Pepperdine,1994,14,First Round,Automatic Qualifier,Midwest
1513,Pepperdine,1992,11,First Round,Automatic Qualifier,Midwest
1514,Pepperdine,1991,14,First Round,Automatic Qualifier,West
1515,Pepperdine,1986,12,First Round,Automatic Qualifier,West
1516,Pepperdine,1985,14,First Round,Automatic Qualifier,Midwest
1517,Pittsburgh,2016,10,First Round,At Large,East
1518,Pittsburgh,2014,9,Second Round,At Large,South
1519,Pittsburgh,2013,8,First Round,At Large,West
1520,Pittsburgh,2011,1,Second Round,At Large,Southeast
1521,Pittsburgh,2010,3,Second Round,At Large,West
1522,Pittsburgh,2009,1,Elite Eight,At Large,East
1523,Pittsburgh,2008,4,Second Round,Automatic Qualifier,South
1524,Pittsburgh,2007,3,Sweet 16,At Large,West
1525,Pittsburgh,2006,5,Second Round,At Large,West
1526,Pittsburgh,2005,9,First Round,At Large,West
1527,Pittsburgh,2004,3,Sweet 16,At Large,East
1528,Pittsburgh,2003,2,Sweet 16,Automatic Qualifier,Midwest
1529,Pittsburgh,2002,3,Sweet 16,At Large,South
1530,Pittsburgh,1993,9,First Round,At Large,Southeast
1531,Pittsburgh,1991,6,Second Round,At Large,Southeast
1532,Pittsburgh,1989,8,First Round,At Large,Midwest
1533,Pittsburgh,1988,2,Second Round,At Large,Midwest
1534,Pittsburgh,1987,3,Second Round,At Large,West
1535,Pittsburgh,1985,12,First Round,At Large,Midwest
1536,Portland,1996,14,First Round,Automatic Qualifier,Midwest
1537,Portland State,2009,13,First Round,Automatic Qualifier,East
1538,Portland State,2008,16,First Round,Automatic Qualifier,Midwest
1539,Prairie View,2019,16,Play-In,Automatic Qualifier,West
1540,Prairie View,1998,16,First Round,Automatic Qualifier,Midwest
1541,Princeton,2017,12,First Round,Automatic Qualifier,West
1542,Princeton,2011,13,First Round,Automatic Qualifier,East
1543,Princeton,2004,14,First Round,Automatic Qualifier,South
1544,Princeton,2001,15,First Round,Automatic Qualifier,South
1545,Princeton,1998,5,Second Round,Automatic Qualifier,East
1546,Princeton,1997,12,First Round,Automatic Qualifier,East
1547,Princeton,1996,13,Second Round,Automatic Qualifier,Southeast
1548,Princeton,1992,11,First Round,Automatic Qualifier,East
1549,Princeton,1991,8,First Round,Automatic Qualifier,East
1550,Princeton,1990,13,First Round,Automatic Qualifier,Midwest
1551,Princeton,1989,16,First Round,Automatic Qualifier,East
1552,Providence,2018,10,First Round,At Large,West
1553,Providence,2017,11,First Round,At Large,East
1554,Providence,2016,9,Second Round,At Large,East
1555,Providence,2015,6,First Round,At Large,East
1556,Providence,2014,11,First Round,Automatic Qualifier,East
1557,Providence,2004,5,First Round,At Large,Midwest
1558,Providence,2001,10,First Round,At Large,South
1559,Providence,1997,10,Elite Eight,At Large,Southeast
1560,Providence,1994,8,First Round,Automatic Qualifier,Southeast
1561,Providence,1990,9,First Round,At Large,West
1562,Providence,1989,12,First Round,At Large,Southeast
1563,Providence,1987,6,Final Four,At Large,Southeast
1564,Purdue,2019,3,Elite Eight,At Large,South
1565,Purdue,2018,2,Sweet 16,At Large,East
1566,Purdue,2017,4,Sweet 16,At Large,Midwest
1567,Purdue,2016,5,First Round,At Large,Midwest
1568,Purdue,2015,9,First Round,At Large,Midwest
1569,Purdue,2012,10,Second Round,At Large,Midwest
1570,Purdue,2011,3,Second Round,At Large,Southwest
1571,Purdue,2010,4,Sweet 16,At Large,South
1572,Purdue,2009,5,Sweet 16,Automatic Qualifier,West
1573,Purdue,2008,6,Second Round,At Large,West
1574,Purdue,2007,9,Second Round,At Large,Midwest
1575,Purdue,2003,9,Second Round,At Large,South
1576,Purdue,2000,6,Elite Eight,At Large,West
1577,Purdue,1999,10,Sweet 16,At Large,East
1578,Purdue,1998,2,Sweet 16,At Large,Midwest
1579,Purdue,1997,8,Second Round,At Large,Southeast
1580,Purdue,1996,1,Second Round,Automatic Qualifier,West
1581,Purdue,1995,3,Second Round,Automatic Qualifier,Midwest
1582,Purdue,1994,1,Elite Eight,Automatic Qualifier,Southeast
1583,Purdue,1993,9,First Round,At Large,East
1584,Purdue,1991,7,First Round,At Large,East
1585,Purdue,1990,2,Second Round,At Large,Midwest
1586,Purdue,1988,1,Sweet 16,Automatic Qualifier,Midwest
1587,Purdue,1987,3,Second Round,At Large,East
1588,Purdue,1986,6,First Round,At Large,Southeast
1589,Purdue,1985,6,First Round,At Large,Southeast
1590,Radford,2018,16,First Round,Automatic Qualifier,East
1591,Radford,2009,16,First Round,Automatic Qualifier,South
1592,Radford,1998,16,First Round,Automatic Qualifier,South
1593,Rhode Island,2018,7,Second Round,At Large,Midwest
1594,Rhode Island,2017,11,Second Round,Automatic Qualifier,Midwest
1595,Rhode Island,1999,12,First Round,Automatic Qualifier,Midwest
1596,Rhode Island,1998,8,Elite Eight,At Large,Midwest
1597,Rhode Island,1997,9,First Round,At Large,Southeast
1598,Rhode Island,1993,8,Second Round,At Large,East
1599,Rhode Island,1988,11,Sweet 16,At Large,East
1600,Richmond,2011,12,Sweet 16,Automatic Qualifier,Southwest
1601,Richmond,2010,7,First Round,At Large,South
1602,Richmond,2004,11,First Round,At Large,East
1603,Richmond,1998,14,Second Round,Automatic Qualifier,East
1604,Richmond,1991,15,Second Round,Automatic Qualifier,East
1605,Richmond,1990,14,First Round,Automatic Qualifier,East
1606,Richmond,1988,13,Sweet 16,Automatic Qualifier,East
1607,Richmond,1986,11,First Round,At Large,East
1608,Rider,1994,15,First Round,Automatic Qualifier,East
1609,Rider,1993,16,First Round,Automatic Qualifier,Southeast
1610,Robert Morris,2015,16,First Round,Automatic Qualifier,South
1611,Robert Morris,2010,15,First Round,Automatic Qualifier,South
1612,Robert Morris,2009,15,First Round,Automatic Qualifier,Midwest
1613,Robert Morris,1992,16,First Round,Automatic Qualifier,West
1614,Robert Morris,1990,15,First Round,Automatic Qualifier,East
1615,Robert Morris,1989,16,First Round,Automatic Qualifier,West
1616,Rutgers,1991,9,First Round,At Large,Southeast
1617,Rutgers,1989,13,First Round,Automatic Qualifier,East
1618,Sam Houston State,2010,14,First Round,Automatic Qualifier,South
1619,Sam Houston State,2003,15,First Round,Automatic Qualifier,South
1620,Samford,2000,13,First Round,Automatic Qualifier,Midwest
1621,Samford,1999,14,First Round,Automatic Qualifier,South
1622,San Diego,2008,13,Second Round,Automatic Qualifier,West
1623,San Diego,2003,13,First Round,Automatic Qualifier,West
1624,San Diego,1987,9,First Round,At Large,Midwest
1625,San Diego State,2018,11,First Round,Automatic Qualifier,West
1626,San Diego State,2015,8,Second Round,At Large,South
1627,San Diego State,2014,4,Sweet 16,At Large,West
1628,San Diego State,2013,7,Second Round,At Large,South
1629,San Diego State,2012,6,First Round,At Large,Midwest
1630,San Diego State,2011,2,Sweet 16,Automatic Qualifier,West
1631,San Diego State,2010,11,First Round,Automatic Qualifier,Midwest
1632,San Diego State,2006,11,First Round,Automatic Qualifier,West
1633,San Diego State,2002,13,First Round,Automatic Qualifier,Midwest
1634,San Diego State,1985,13,First Round,Automatic Qualifier,West
1635,San Francisco,1998,14,First Round,Automatic Qualifier,West
1636,San Jose State,1996,16,First Round,Automatic Qualifier,Midwest
1637,Santa Clara,1996,10,Second Round,At Large,West
1638,Santa Clara,1995,12,First Round,At Large,West
1639,Santa Clara,1993,15,Second Round,Automatic Qualifier,West
1640,Santa Clara,1987,15,First Round,Automatic Qualifier,West
1641,Seton Hall,2019,10,First Round,At Large,Midwest
1642,Seton Hall,2018,8,Second Round,At Large,Midwest
1643,Seton Hall,2017,9,First Round,At Large,South
1644,Seton Hall,2016,6,First Round,Automatic Qualifier,Midwest
1645,Seton Hall,2006,10,First Round,At Large,East
1646,Seton Hall,2004,8,Second Round,At Large,South
1647,Seton Hall,2000,10,Sweet 16,At Large,East
1648,Seton Hall,1994,10,First Round,At Large,Southeast
1649,Seton Hall,1993,2,Second Round,Automatic Qualifier,Southeast
1650,Seton Hall,1992,4,Sweet 16,At Large,East
1651,Seton Hall,1991,3,Elite Eight,Automatic Qualifier,West
1652,Seton Hall,1989,3,National Championship,At Large,West
1653,Seton Hall,1988,8,Second Round,At Large,West
1654,Siena,2010,13,First Round,Automatic Qualifier,South
1655,Siena,2009,9,Second Round,Automatic Qualifier,Midwest
1656,Siena,2008,13,Second Round,Automatic Qualifier,Midwest
1657,Siena,2002,16,First Round,Automatic Qualifier,East
1658,Siena,1999,13,First Round,Automatic Qualifier,West
1659,Siena,1989,14,Second Round,Automatic Qualifier,East
1660,South Alabama,2008,10,First Round,At Large,East
1661,South Alabama,2006,14,First Round,Automatic Qualifier,Midwest
1662,South Alabama,1998,12,First Round,Automatic Qualifier,West
1663,South Alabama,1997,13,First Round,Automatic Qualifier,Southeast
1664,South Alabama,1991,13,First Round,Automatic Qualifier,West
1665,South Alabama,1989,11,Second Round,Automatic Qualifier,Southeast
1666,South Carolina,2017,7,Final Four,At Large,East
1667,South Carolina,2004,10,First Round,At Large,East
1668,South Carolina,1998,3,First Round,At Large,East
1669,South Carolina,1997,2,First Round,At Large,East
1670,South Carolina,1989,12,First Round,At Large,East
1671,South Carolina State,2003,16,First Round,Automatic Qualifier,East
1672,South Carolina State,2000,16,First Round,Automatic Qualifier,South
1673,South Carolina State,1998,15,First Round,Automatic Qualifier,South
1674,South Carolina State,1996,15,First Round,Automatic Qualifier,West
1675,South Carolina State,1989,15,First Round,Automatic Qualifier,East
1676,South Dakota State,2018,12,First Round,Automatic Qualifier,West
1677,South Dakota State,2017,16,First Round,Automatic Qualifier,West
1678,South Dakota State,2016,12,First Round,Automatic Qualifier,South
1679,South Dakota State,2013,13,First Round,Automatic Qualifier,South
1680,South Dakota State,2012,14,First Round,Automatic Qualifier,South
1681,South Florida,2012,12,Second Round,At Large,Midwest
1682,South Florida,1992,11,First Round,At Large,West
1683,South Florida,1990,15,First Round,Automatic Qualifier,West
1684,Southeast Missouri State,2000,13,First Round,Automatic Qualifier,West
1685,Southeastern Louisiana,2005,15,First Round,Automatic Qualifier,Midwest
1686,Southern,2016,16,Play-In,Automatic Qualifier,West
1687,Southern,2013,16,First Round,Automatic Qualifier,West
1688,Southern,2006,16,First Round,Automatic Qualifier,South
1689,Southern,1993,13,Second Round,Automatic Qualifier,West
1690,Southern,1989,15,First Round,Automatic Qualifier,Southeast
1691,Southern,1988,15,First Round,Automatic Qualifier,Southeast
1692,Southern,1987,15,First Round,Automatic Qualifier,Midwest
1693,Southern,1985,16,First Round,Automatic Qualifier,West
1694,Southern California,2017,11,Second Round,At Large,East
1695,Southern California,2016,8,First Round,At Large,East
1696,Southern California,2011,11,Play-In,At Large,Southwest
1697,Southern California,2009,10,Second Round,Automatic Qualifier,Midwest
1698,Southern California,2008,6,First Round,At Large,Midwest
1699,Southern California,2007,5,Sweet 16,At Large,East
1700,Southern California,2002,4,First Round,At Large,South
1701,Southern California,2001,6,Elite Eight,At Large,East
1702,Southern California,1997,11,First Round,At Large,Southeast
1703,Southern California,1992,2,Second Round,At Large,Midwest
1704,Southern California,1991,10,First Round,At Large,Southeast
1705,Southern California,1985,8,First Round,At Large,Midwest
1706,Southern Illinois,2007,4,Sweet 16,At Large,West
1707,Southern Illinois,2006,11,First Round,Automatic Qualifier,South
1708,Southern Illinois,2005,7,Second Round,At Large,Midwest
1709,Southern Illinois,2004,9,First Round,At Large,West
1710,Southern Illinois,2003,11,First Round,At Large,Midwest
1711,Southern Illinois,2002,11,Sweet 16,At Large,East
1712,Southern Illinois,1995,10,First Round,Automatic Qualifier,Midwest
1713,Southern Illinois,1994,11,First Round,Automatic Qualifier,West
1714,Southern Illinois,1993,14,First Round,Automatic Qualifier,Midwest
1715,Southern Methodist,2017,6,First Round,Automatic Qualifier,East
1716,Southern Methodist,2015,6,First Round,Automatic Qualifier,South
1717,Southern Methodist,1993,10,First Round,At Large,Midwest
1718,Southern Methodist,1988,7,Second Round,Automatic Qualifier,East
1719,Southern Methodist,1985,5,Second Round,At Large,East
1720,Southern Mississippi,2012,9,First Round,At Large,East
1721,Southern Mississippi,1991,11,First Round,At Large,East
1722,Southern Mississippi,1990,13,First Round,At Large,East
1723,Southern Utah,2001,14,First Round,Automatic Qualifier,East
1724,St. Bonaventure,2018,11,First Round,At Large,East
1725,St. Bonaventure,2012,14,First Round,Automatic Qualifier,East
1726,St. Bonaventure,2000,12,First Round,At Large,Midwest
1727,St. Francis (Pa.),1991,15,First Round,Automatic Qualifier,West
1728,St. John's,2019,11,Play-In,At Large,West
1729,St. John's,2015,9,First Round,At Large,South
1730,St. John's,2011,6,First Round,At Large,Southeast
1731,St. John's,2002,9,First Round,At Large,East
1732,St. John's,2000,2,Second Round,Automatic Qualifier,West
1733,St. John's,1999,3,Elite Eight,At Large,South
1734,St. John's,1998,7,First Round,At Large,Midwest
1735,St. John's,1993,5,Second Round,At Large,East
1736,St. John's,1992,7,First Round,At Large,Southeast
1737,St. John's,1991,4,Elite Eight,At Large,Midwest
1738,St. John's,1990,6,Second Round,At Large,East
1739,St. John's,1988,11,First Round,At Large,West
1740,St. John's,1987,6,Second Round,At Large,Midwest
1741,St. John's,1986,1,Second Round,Automatic Qualifier,West
1742,St. John's,1985,1,Final Four,At Large,West
1743,St. Joseph's,2016,8,Second Round,Automatic Qualifier,West
1744,St. Joseph's,2014,10,First Round,Automatic Qualifier,East
1745,St. Joseph's,2008,11,First Round,At Large,East
1746,St. Joseph's,2004,1,Elite Eight,At Large,East
1747,St. Joseph's,2003,7,First Round,At Large,East
1748,St. Joseph's,2001,9,Second Round,At Large,West
1749,St. Joseph's,1997,4,Sweet 16,Automatic Qualifier,West
1750,St. Joseph's,1986,6,Second Round,Automatic Qualifier,East
1751,St. Louis,2019,13,First Round,Automatic Qualifier,East
1752,St. Louis,2014,5,Second Round,At Large,Midwest
1753,St. Louis,2013,4,Second Round,Automatic Qualifier,Midwest
1754,St. Louis,2012,9,Second Round,At Large,West
1755,St. Louis,2000,9,First Round,Automatic Qualifier,Midwest
1756,St. Louis,1998,10,Second Round,At Large,South
1757,St. Louis,1995,9,Second Round,At Large,East
1758,St. Louis,1994,7,First Round,At Large,Midwest
1759,St. Mary's (Cal.),2020,10,Play-In,At Large,2019
1760,St. Mary's (Cal.),11,First Round,Automatic Qualifier,South,2017
1761,St. Mary's (Cal.),7,Second Round,At Large,West,2013
1762,St. Mary's (Cal.),11,First Round,At Large,Midwest,2012
1763,St. Mary's (Cal.),7,First Round,Automatic Qualifier,Midwest,2010
1764,St. Mary's (Cal.),10,Sweet 16,Automatic Qualifier,South,2008
1765,St. Mary's (Cal.),10,First Round,At Large,South,2005
1766,St. Mary's (Cal.),10,First Round,At Large,Midwest,1997
1767,St. Mary's (Cal.),14,First Round,Automatic Qualifier,West,1989
1768,St. Peter's,2011,14,First Round,Automatic Qualifier,Southwest
1769,St. Peter's,1995,15,First Round,Automatic Qualifier,East
1770,St. Peter's,1991,12,First Round,Automatic Qualifier,Midwest
1771,Stanford,2014,10,Sweet 16,At Large,South
1772,Stanford,2008,3,Sweet 16,At Large,South
1773,Stanford,2007,11,First Round,At Large,South
1774,Stanford,2005,8,First Round,At Large,South
1775,Stanford,2004,1,Second Round,Automatic Qualifier,West
1776,Stanford,2003,4,Second Round,At Large,South
1777,Stanford,2002,8,Second Round,At Large,Midwest
1778,Stanford,2001,1,Elite Eight,Automatic Qualifier,West
1779,Stanford,2000,1,Second Round,At Large,South
1780,Stanford,1999,2,Second Round,Automatic Qualifier,West
1781,Stanford,1998,3,Final Four,At Large,Midwest
1782,Stanford,1997,6,Sweet 16,At Large,West
1783,Stanford,1996,9,Second Round,At Large,East
1784,Stanford,1995,10,Second Round,At Large,East
1785,Stanford,1992,12,First Round,At Large,Southeast
1786,Stanford,1989,3,First Round,At Large,East
1787,Stephen F. Austin,2018,14,First Round,Automatic Qualifier,East
1788,Stephen F. Austin,2016,14,Second Round,Automatic Qualifier,East
1789,Stephen F. Austin,2015,12,First Round,Automatic Qualifier,South
1790,Stephen F. Austin,2014,12,Second Round,Automatic Qualifier,South
1791,Stephen F. Austin,2009,14,First Round,Automatic Qualifier,South
1792,Stony Brook,2016,13,First Round,Automatic Qualifier,East
1793,Syracuse,2019,8,First Round,At Large,West
1794,Syracuse,2018,11,Sweet 16,At Large,Midwest
1795,Syracuse,2016,10,Final Four,At Large,Midwest
1796,Syracuse,2014,3,Second Round,At Large,South
1797,Syracuse,2013,4,Final Four,At Large,East
1798,Syracuse,2012,1,Elite Eight,At Large,East
1799,Syracuse,2011,3,Second Round,At Large,East
1800,Syracuse,2010,1,Sweet 16,At Large,West
1801,Syracuse,2009,3,Sweet 16,At Large,South
1802,Syracuse,2006,5,First Round,Automatic Qualifier,South
1803,Syracuse,2005,4,First Round,Automatic Qualifier,South
1804,Syracuse,2004,5,Sweet 16,At Large,West
1805,Syracuse,2003,3,National Championship,At Large,East
1806,Syracuse,2001,5,Second Round,At Large,Midwest
1807,Syracuse,2000,4,Sweet 16,At Large,Midwest
1808,Syracuse,1999,8,First Round,At Large,South
1809,Syracuse,1998,5,Sweet 16,At Large,South
1810,Syracuse,1996,4,National Championship,At Large,West
1811,Syracuse,1995,7,Second Round,At Large,Midwest
1812,Syracuse,1994,4,Sweet 16,At Large,West
1813,Syracuse,1992,6,Second Round,Automatic Qualifier,East
1814,Syracuse,1991,2,First Round,At Large,East
1815,Syracuse,1990,2,Sweet 16,At Large,Southeast
1816,Syracuse,1989,2,Elite Eight,At Large,Midwest
1817,Syracuse,1988,3,Second Round,Automatic Qualifier,East
1818,Syracuse,1987,2,National Championship,At Large,East
1819,Syracuse,1986,2,Second Round,At Large,East
1820,Syracuse,1985,7,Second Round,At Large,East
1821,TCU,2018,6,First Round,At Large,Midwest
1822,TCU,1998,5,First Round,At Large,Midwest
1823,TCU,1987,4,Second Round,At Large,East
1824,Temple,2019,11,Play-In,At Large,East
1825,Temple,2016,10,First Round,At Large,South
1826,Temple,2013,9,Second Round,At Large,East
1827,Temple,2012,5,First Round,At Large,Midwest
1828,Temple,2011,7,Second Round,At Large,West
1829,Temple,2010,5,First Round,Automatic Qualifier,East
1830,Temple,2009,11,First Round,Automatic Qualifier,South
1831,Temple,2008,12,First Round,Automatic Qualifier,South
1832,Temple,2001,11,Elite Eight,Automatic Qualifier,South
1833,Temple,2000,2,Second Round,Automatic Qualifier,East
1834,Temple,1999,6,Elite Eight,At Large,East
1835,Temple,1998,7,First Round,At Large,West
1836,Temple,1997,9,Second Round,At Large,Midwest
1837,Temple,1996,7,Second Round,At Large,Southeast
1838,Temple,1995,10,First Round,At Large,West
1839,Temple,1994,4,Second Round,At Large,East
1840,Temple,1993,7,Elite Eight,At Large,West
1841,Temple,1992,11,First Round,At Large,Southeast
1842,Temple,1991,10,Elite Eight,At Large,East
1843,Temple,1990,11,First Round,Automatic Qualifier,East
1844,Temple,1988,1,Elite Eight,Automatic Qualifier,East
1845,Temple,1987,2,Second Round,Automatic Qualifier,Midwest
1846,Temple,1986,9,Second Round,At Large,Midwest
1847,Temple,1985,8,Second Round,Automatic Qualifier,East
1848,Tennessee,2019,2,Sweet 16,At Large,South
1849,Tennessee,2018,3,Second Round,At Large,South
1850,Tennessee,2014,11,Sweet 16,At Large,Midwest
1851,Tennessee,2011,9,First Round,At Large,West
1852,Tennessee,2010,6,Elite Eight,At Large,Midwest
1853,Tennessee,2009,9,First Round,At Large,East
1854,Tennessee,2008,2,Sweet 16,At Large,East
1855,Tennessee,2007,5,Sweet 16,At Large,South
1856,Tennessee,2006,2,Second Round,At Large,East
1857,Tennessee,2001,8,First Round,At Large,Midwest
1858,Tennessee,2000,4,Sweet 16,At Large,South
1859,Tennessee,1999,4,Second Round,At Large,East
1860,Tennessee,1998,8,First Round,At Large,West
1861,Tennessee,1989,10,First Round,At Large,East
1862,Tennessee State,1994,14,First Round,Automatic Qualifier,Southeast
1863,Tennessee State,1993,15,First Round,Automatic Qualifier,Southeast
1864,Texas,2018,10,First Round,Automatic Qualifier,South
1865,Texas,2016,6,First Round,At Large,West
1866,Texas,2015,11,First Round,At Large,Midwest
1867,Texas,2014,7,Second Round,At Large,Midwest
1868,Texas,2012,11,First Round,At Large,East
1869,Texas,2011,4,Second Round,At Large,West
1870,Texas,2010,8,First Round,At Large,East
1871,Texas,2009,7,Second Round,At Large,East
1872,Texas,2008,2,Elite Eight,At Large,South
1873,Texas,2007,4,Second Round,At Large,East
1874,Texas,2006,2,Elite Eight,At Large,South
1875,Texas,2005,8,First Round,At Large,Midwest
1876,Texas,2004,3,Sweet 16,At Large,South
1877,Texas,2003,1,Final Four,At Large,South
1878,Texas,2002,6,Sweet 16,At Large,Midwest
1879,Texas,2001,6,First Round,At Large,South
1880,Texas,2000,5,Second Round,At Large,West
1881,Texas,1999,7,First Round,At Large,East
1882,Texas,1997,10,Sweet 16,At Large,East
1883,Texas,1996,10,Second Round,At Large,Midwest
1884,Texas,1995,11,Second Round,Automatic Qualifier,West
1885,Texas,1994,6,Second Round,Automatic Qualifier,Midwest
1886,Texas,1992,8,First Round,At Large,East
1887,Texas,1991,5,Second Round,At Large,Midwest
1888,Texas,1990,10,Elite Eight,At Large,Midwest
1889,Texas,1989,11,Second Round,At Large,Midwest
1890,Texas A&amp;M,2018,7,Sweet 16,At Large,West
1891,Texas A&amp;M,2016,3,Sweet 16,Automatic Qualifier,West
1892,Texas A&amp;M,2011,7,First Round,At Large,Southwest
1893,Texas A&amp;M,2010,5,Second Round,At Large,South
1894,Texas A&amp;M,2009,9,Second Round,At Large,West
1895,Texas A&amp;M,2008,9,Second Round,At Large,West
1896,Texas A&amp;M,2007,3,Sweet 16,At Large,South
1897,Texas A&amp;M,2006,12,Second Round,At Large,South
1898,Texas A&amp;M,1987,12,First Round,Automatic Qualifier,Midwest
1899,Texas A&amp;M-Corpus Christi,2007,15,First Round,Automatic Qualifier,Midwest
1900,Texas Southern,2018,16,First Round,Automatic Qualifier,West
1901,Texas Southern,2017,16,First Round,Automatic Qualifier,South
1902,Texas Southern,2015,15,First Round,Automatic Qualifier,West
1903,Texas Southern,2014,16,Play-In,Automatic Qualifier,Midwest
1904,Texas Southern,2003,16,Play-In,Automatic Qualifier,South
1905,Texas Southern,1995,15,First Round,Automatic Qualifier,Midwest
1906,Texas Southern,1994,15,First Round,Automatic Qualifier,Southeast
1907,Texas Southern,1990,14,First Round,Automatic Qualifier,Midwest
1908,Texas State,1997,16,First Round,Automatic Qualifier,Midwest
1909,Texas State,1994,15,First Round,Automatic Qualifier,Midwest
1910,Texas Tech,2019,3,National Championship,At Large,West
1911,Texas Tech,2018,3,Elite Eight,At Large,East
1912,Texas Tech,2016,8,First Round,At Large,Midwest
1913,Texas Tech,2007,10,First Round,At Large,East
1914,Texas Tech,2005,6,Sweet 16,At Large,West
1915,Texas Tech,2004,8,Second Round,At Large,East
1916,Texas Tech,2002,6,First Round,At Large,East
1917,Texas Tech,1996,3,Sweet 16,Automatic Qualifier,East
1918,Texas Tech,1993,12,First Round,Automatic Qualifier,East
1919,Texas Tech,1986,13,First Round,Automatic Qualifier,Midwest
1920,Texas Tech,1985,6,First Round,Automatic Qualifier,Midwest
1921,Texas-Arlington,2008,16,First Round,Automatic Qualifier,South
1922,Texas-San Antonio,2011,16,First Round,Automatic Qualifier,East
1923,Texas-San Antonio,2004,16,First Round,Automatic Qualifier,West
1924,Texas-San Antonio,1999,16,First Round,Automatic Qualifier,West
1925,Texas-San Antonio,1988,14,First Round,Automatic Qualifier,Southeast
1926,Towson,1991,16,First Round,Automatic Qualifier,Midwest
1927,Towson,1990,16,First Round,Automatic Qualifier,Midwest
1928,Troy,2017,15,First Round,Automatic Qualifier,East
1929,Troy,2003,14,First Round,Automatic Qualifier,South
1930,Tulane,1995,9,Second Round,At Large,Southeast
1931,Tulane,1993,11,Second Round,At Large,Southeast
1932,Tulane,1992,10,Second Round,At Large,Southeast
1933,Tulsa,2016,11,Play-In,At Large,East
1934,Tulsa,2014,13,First Round,Automatic Qualifier,South
1935,Tulsa,2003,13,Second Round,Automatic Qualifier,Midwest
1936,Tulsa,2002,12,Second Round,At Large,East
1937,Tulsa,2000,7,Elite Eight,At Large,South
1938,Tulsa,1999,9,Second Round,At Large,East
1939,Tulsa,1997,5,Second Round,At Large,Midwest
1940,Tulsa,1996,11,First Round,Automatic Qualifier,Midwest
1941,Tulsa,1995,6,Sweet 16,At Large,East
1942,Tulsa,1994,12,Sweet 16,At Large,Midwest
1943,Tulsa,1987,11,First Round,At Large,West
1944,Tulsa,1986,10,First Round,Automatic Qualifier,East
1945,Tulsa,1985,6,First Round,At Large,West
1946,UC Davis,2017,16,First Round,Automatic Qualifier,Midwest
1947,UC Irvine,2019,13,Second Round,Automatic Qualifier,South
1948,UC Irvine,2015,13,First Round,Automatic Qualifier,East
1949,UC Santa Barbara,2011,15,First Round,Automatic Qualifier,Southeast
1950,UC Santa Barbara,2010,15,First Round,Automatic Qualifier,Midwest
1951,UC Santa Barbara,2002,14,First Round,Automatic Qualifier,West
1952,UC Santa Barbara,1990,9,Second Round,At Large,Southeast
1953,UC Santa Barbara,1988,10,First Round,At Large,Southeast
1954,UCLA,2018,11,Play-In,At Large,East
1955,UCLA,2017,3,Sweet 16,At Large,South
1956,UCLA,2015,11,Sweet 16,At Large,South
1957,UCLA,2014,4,Sweet 16,Automatic Qualifier,South
1958,UCLA,2013,6,First Round,At Large,South
1959,UCLA,2011,7,Second Round,At Large,Southeast
1960,UCLA,2009,6,Second Round,At Large,East
1961,UCLA,2008,1,Final Four,Automatic Qualifier,West
1962,UCLA,2007,2,Final Four,At Large,West
1963,UCLA,2006,2,National Championship,Automatic Qualifier,West
1964,UCLA,2005,11,First Round,At Large,West
1965,UCLA,2002,8,Sweet 16,At Large,West
1966,UCLA,2001,4,Sweet 16,At Large,East
1967,UCLA,2000,6,Sweet 16,At Large,Midwest
1968,UCLA,1999,5,First Round,At Large,South
1969,UCLA,1998,6,Sweet 16,At Large,South
1970,UCLA,1997,2,Elite Eight,Automatic Qualifier,Midwest
1971,UCLA,1996,4,First Round,Automatic Qualifier,Southeast
1972,UCLA,1995,1,National Championship,Automatic Qualifier,West
1973,UCLA,1994,5,First Round,At Large,Midwest
1974,UCLA,1993,9,Second Round,At Large,West
1975,UCLA,1992,1,Elite Eight,Automatic Qualifier,West
1976,UCLA,1991,4,First Round,At Large,East
1977,UCLA,1990,7,Sweet 16,Automatic Qualifier,East
1978,UCLA,1989,7,Second Round,At Large,Southeast
1979,UCLA,1987,4,Second Round,Automatic Qualifier,West
1980,UNC Asheville,2016,15,First Round,Automatic Qualifier,South
1981,UNC Asheville,2012,16,First Round,Automatic Qualifier,East
1982,UNC Asheville,2011,16,First Round,Automatic Qualifier,Southeast
1983,UNC Asheville,2003,16,First Round,Automatic Qualifier,South
